Bib,Place,Name,Division,Div Pos/Count,Wave,Swim,T1,Bike,T2,Run,Chip Time,Clock Time
366,365,J Jeanne STERN,F 60-64,8/8,Wave 4 Yellow,00:25:10,00:03:55,00:33:22,00:03:15,00:45:37,1:51:19,2:03:18
229,366,D David CHALIF,M Open,33/38,Wave 6 Green,00:31:42,00:04:10,00:32:54,00:03:19,00:39:23,1:51:29,2:11:28
273,367,W Winnie CUI,F 25-29,12/12,Wave 2 Pink,00:26:17,00:04:01,00:44:06,00:03:36,00:34:08,1:52:07,1:56:07
268,368,L Lindsey REPPER,F 19-24,7/7,Wave 2 Pink,00:23:23,00:03:43,00:50:39,00:02:04,00:32:31,1:52:20,1:56:20
350,369,L Linda ANSELMO,F 50-54,9/11,Wave 4 Yellow,00:30:20,00:04:43,00:35:31,00:03:40,00:38:46,1:52:59,2:04:58
193,370,A Anonymous Participant,M 55-59,23/25,Wave 5 Orange,00:24:00,00:08:32,00:35:03,00:02:59,00:42:34,1:53:08,2:09:19
462,371,P Pete SMITH,M 65-69,16/17,Wave 5 Orange,00:24:43,00:07:06,00:34:30,00:06:26,00:40:28,1:53:13,2:09:24
155,372,A Alejandro ORELLANA,M 50-54,21/24,Wave 3 Blue,00:40:11,00:06:20,00:30:21,00:04:51,00:34:05,1:55:49,2:03:49
342,373,M Manyen CHIN,F 50-54,10/11,Wave 4 Yellow,00:39:37,00:04:19,00:38:54,00:01:25,00:31:56,1:56:11,2:08:10
242,374,A Anthony D'ALLEVA,Clydes 40+,3/3,Wave 5 Orange,00:21:34,00:07:16,00:39:07,00:02:14,00:46:13,1:56:24,2:12:34
392,375,R Rebecca ISBELL,F 45-49,8/9,Wave 4 Yellow,00:35:31,00:03:52,00:38:35,00:01:29,00:37:10,1:56:37,2:08:37
377,376,Melanie SOTO,Athena 40+,2/2,Wave 4 Yellow,00:27:35,00:07:33,00:38:29,00:01:46,00:42:19,1:57:41,2:09:40
334,377,K Kristy SAMODULSKI,F Open,15/17,Wave 6 Green,00:34:42,00:05:45,00:38:31,00:02:13,00:36:35,1:57:46,2:17:45
22,378,B Ben ORELLANA,M 12-18,8/8,Wave 1 White,00:23:43,00:05:28,00:41:47,00:01:18,00:46:17,1:58:32,1:58:32
25,379,J Jon LAUNER,M Open,34/38,Wave 6 Green,00:30:19,00:09:32,00:44:05,00:02:24,00:32:17,1:58:37,2:18:36
19,380,G Griffin LAUNER,M Open,35/38,Wave 6 Green,00:30:34,00:09:16,00:44:07,00:02:23,00:32:18,1:58:38,2:18:37
231,381,M Myung YI,M 70-74,9/10,Wave 5 Orange,00:37:31,00:07:40,00:35:35,00:02:31,00:36:02,1:59:19,2:15:30
293,382,K Kara DESANNA,F 30-34,15/15,Wave 2 Pink,00:24:18,00:04:38,00:48:21,00:01:35,00:42:15,2:01:08,2:05:08
135,383,B Brad LAUNER,M Open,36/38,Wave 6 Green,00:33:05,00:06:37,00:50:14,00:02:35,00:29:25,2:01:55,2:21:54
325,384,D Danielle WEINMAN,F Open,16/17,Wave 6 Green,00:32:03,00:04:25,00:42:27,00:04:07,00:39:04,2:02:07,2:22:06
330,385,L Layne WEINMAN,F Open,17/17,Wave 6 Green,00:32:14,00:04:17,00:44:04,00:02:28,00:39:05,2:02:08,2:22:07
375,386,L Lynette FISHKIN,F 65-69,4/4,Wave 4 Yellow,00:25:02,00:06:02,00:42:04,00:01:56,00:47:50,2:02:55,2:14:54
314,387,W Wende COOPER,F 35-39,8/8,Wave 2 Pink,00:20:50,00:04:41,00:51:45,00:02:14,00:43:26,2:02:57,2:06:56
453,388,O Oswaldo BARACALDO,M 65-69,17/17,Wave 5 Orange,00:45:36,00:03:59,00:39:50,00:01:29,00:32:52,2:03:45,2:19:56
194,389,S Scott HEALY,M 55-59,24/25,Wave 5 Orange,00:31:40,00:05:51,00:36:02,00:03:15,00:47:21,2:04:10,2:20:20
208,390,B Bryan DUFFY,M Open,37/38,Wave 6 Green,00:30:40,00:07:16,00:40:00,00:02:03,00:44:18,2:04:17,2:24:16
212,391,T Thomas PETROUSKIE,M 60-64,17/18,Wave 5 Orange,00:36:25,00:07:01,00:38:47,00:01:30,00:41:45,2:05:28,2:21:38
381,392,E Erin MONDELLO,Athena 39-,2/2,Wave 4 Yellow,00:26:30,00:07:14,00:44:15,00:03:13,00:45:09,2:06:22,2:18:22
322,393,Alecia OLEYOURRYK,F 40-44,14/14,Wave 4 Yellow,00:27:22,00:06:20,00:45:44,00:01:47,00:45:10,2:06:23,2:18:22
237,394,R Richard LINDNER,M 70-74,10/10,Wave 5 Orange,00:28:03,00:09:33,00:39:41,00:03:00,00:46:38,2:06:55,2:23:05
196,395,W Wade GARNETT,M 55-59,25/25,Wave 5 Orange,00:35:33,00:11:13,00:37:10,00:04:15,00:38:55,2:07:06,2:23:17
343,396,J Jenny HWANG,F 50-54,11/11,Wave 4 Yellow,00:35:35,00:07:38,00:39:28,00:02:21,00:42:14,2:07:17,2:19:16
337,397,B Betsy MONTANEZ,F 45-49,9/9,Wave 4 Yellow,00:32:12,00:07:09,00:36:23,00:07:33,00:44:20,2:07:36,2:19:36
493,398,S Sarah HELLER,F Challenged,4/4,Wave 5 Orange,00:39:49,00:03:58,00:37:42,00:03:40,00:43:32,2:08:41,2:24:52
171,399,J Joe DIGAETANO,M 50-54,22/24,Wave 3 Blue,00:25:10,00:07:10,00:42:40,00:04:00,00:50:19,2:09:19,2:17:19
142,400,J Joseph BAHM,M Open,38/38,Wave 6 Green,00:33:07,00:08:49,00:43:52,00:04:50,00:39:40,2:10:18,2:30:18
400,401,M Meredith LEWIN,F 70-74,1/1,Wave 4 Yellow,00:22:55,00:05:24,00:45:08,00:05:28,00:51:28,2:10:22,2:22:21
438,402,K Kurt KRUMMENACKER,M 50-54,23/24,Wave 3 Blue,00:21:06,00:26:06,00:39:29,00:02:22,00:42:15,2:11:17,2:19:17
426,403,C Charlie PLASKON,M Challenged,2/2,Wave 4 Yellow,00:26:30,00:13:11,00:31:46,00:06:36,01:01:39,2:19:41,2:31:41
209,404,M M. Daniel BACH,M 60-64,18/18,Wave 5 Orange,00:43:33,00:07:00,00:38:39,00:03:29,00:47:26,2:20:07,2:36:18
439,405,L Louis MASTRANGELO,M 50-54,24/24,Wave 3 Blue,00:42:10,00:05:48,00:48:01,00:02:09,00:43:29,2:21:36,2:29:36
394,,C Cami NEGUS,F 50-54,,Wave 4 Yellow,00:34:01,00:02:29,00:37:22,00:01:59,,,
